time_sec,mood,score
0.0,ACTIVE,26
0.4,ACTIVE,29
0.8,ACTIVE,34
1.2,ACTIVE,39
1.6,ACTIVE,45
2.0,EXCITED,51
2.4,EXCITED,57
2.8,EXCITED,61
3.2,EXCITED,65
3.6,EXCITED,69
4.0,EXCITED,72
4.4,EXCITED,74
4.8,CHAOTIC,75
5.2,CHAOTIC,76
5.6,CHAOTIC,77
6.0,CHAOTIC,77
6.4,CHAOTIC,78
6.8,CHAOTIC,78
7.2,CHAOTIC,79
7.6,CHAOTIC,80
8.0,CHAOTIC,80
8.4,CHAOTIC,81
8.8,CHAOTIC,80
9.2,CHAOTIC,79
9.6,CHAOTIC,78
10.0,CHAOTIC,77
10.4,CHAOTIC,77
10.8,CHAOTIC,77
11.2,CHAOTIC,77
11.6,CHAOTIC,78
12.0,CHAOTIC,79
12.4,CHAOTIC,79
12.8,CHAOTIC,79
13.2,CHAOTIC,79
13.6,CHAOTIC,79
14.0,CHAOTIC,80
14.4,CHAOTIC,80
14.8,CHAOTIC,82
15.2,CHAOTIC,83
15.6,CHAOTIC,82
16.0,CHAOTIC,82
16.4,CHAOTIC,82
16.8,CHAOTIC,82
17.2,CHAOTIC,81
17.6,CHAOTIC,81
18.0,CHAOTIC,80
18.4,CHAOTIC,79
18.8,CHAOTIC,77
19.2,CHAOTIC,77
19.6,CHAOTIC,77
20.0,CHAOTIC,78
20.4,CHAOTIC,79
20.8,CHAOTIC,79
21.2,CHAOTIC,80
21.6,CHAOTIC,80
22.0,CHAOTIC,80
22.4,CHAOTIC,81
22.8,CHAOTIC,82
23.2,CHAOTIC,82
23.6,CHAOTIC,81
24.0,CHAOTIC,80
24.4,CHAOTIC,80
24.8,CHAOTIC,79
25.2,CHAOTIC,79
25.6,CHAOTIC,80
26.0,CHAOTIC,80
26.4,CHAOTIC,81
26.8,CHAOTIC,80
27.2,CHAOTIC,80
27.6,CHAOTIC,80
28.0,CHAOTIC,80
28.4,CHAOTIC,81
28.8,CHAOTIC,83
29.2,CHAOTIC,85
29.6,CHAOTIC,86
30.0,CHAOTIC,87
30.4,CHAOTIC,87
30.8,CHAOTIC,87
31.2,CHAOTIC,87
31.6,CHAOTIC,86
32.0,CHAOTIC,85
32.4,CHAOTIC,86
32.8,CHAOTIC,88
33.2,CHAOTIC,88
33.6,CHAOTIC,88
34.0,CHAOTIC,87
34.4,CHAOTIC,87
34.8,CHAOTIC,86
35.2,CHAOTIC,85
35.6,CHAOTIC,84
36.0,CHAOTIC,84
36.4,CHAOTIC,84
36.8,CHAOTIC,83
37.2,CHAOTIC,84
37.6,CHAOTIC,84
38.0,CHAOTIC,83
38.4,CHAOTIC,82
38.8,CHAOTIC,82
39.2,CHAOTIC,81
39.6,CHAOTIC,81
40.0,CHAOTIC,80
40.4,CHAOTIC,80
40.8,CHAOTIC,80
41.2,CHAOTIC,79
41.6,CHAOTIC,80
42.0,CHAOTIC,80
42.4,CHAOTIC,80
42.8,CHAOTIC,80
43.2,CHAOTIC,80
43.6,CHAOTIC,79
44.0,CHAOTIC,78
44.4,CHAOTIC,76
44.8,EXCITED,74
45.2,EXCITED,73
45.6,EXCITED,72
46.0,EXCITED,72
46.4,EXCITED,72
46.8,EXCITED,72
47.2,EXCITED,73
47.6,EXCITED,73
48.0,EXCITED,72
48.4,EXCITED,72
48.8,EXCITED,72
49.2,EXCITED,72
49.6,EXCITED,73
50.0,CHAOTIC,75
50.4,CHAOTIC,76
50.8,CHAOTIC,77
51.2,CHAOTIC,77
51.6,CHAOTIC,77
52.0,CHAOTIC,76
52.4,CHAOTIC,75
52.8,CHAOTIC,75
53.2,CHAOTIC,75
53.6,CHAOTIC,76
54.0,CHAOTIC,76
54.4,CHAOTIC,78
54.8,CHAOTIC,79
55.2,CHAOTIC,79
55.6,CHAOTIC,79
56.0,CHAOTIC,78
56.4,CHAOTIC,78
56.8,CHAOTIC,77
57.2,CHAOTIC,76
57.6,CHAOTIC,75
58.0,CHAOTIC,76
58.4,CHAOTIC,77
58.8,CHAOTIC,79
59.2,CHAOTIC,80
59.6,CHAOTIC,80
60.0,CHAOTIC,77
